,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
122,1654,Ben Mee,30,2695,2,1.619415545,0,0.805203526,22,7,3,0,D,Burnley,2,1.619415545,2.118281593,2.015906334
123,1663,Johann Berg Gudmundsson,21,1279,2,1.51604672,0,0.959504344,18,10,2,0,M S,Burnley,2,1.51604672,3.596361902,1.325504447
124,1678,Michy Batshuayi,18,706,2,1.363145164,1,1.654721253,12,9,0,0,F S,Crystal Palace,2,1.363145164,3.708006874,1.475732068
125,1687,Harry Maguire,34,3049,2,1.48433672,1,0.290943004,36,7,11,0,D,Manchester United,2,1.48433672,13.1270039,13.0183471
126,1726,Abdoulaye Doucouré,28,2409,2,2.36952303,3,2.381616309,18,20,6,0,M,Everton,2,2.36952303,10.35572241,6.733989973
127,1737,Matt Phillips,33,1823,2,2.923516908,1,3.245671345,22,25,1,0,M S,West Bromwich Albion,2,2.923516908,7.040551716,2.613230765
128,1738,Hal Robson-Kanu,19,522,2,1.496081311,0,0.243450195,13,5,2,0,F S,West Bromwich Albion,2,1.496081311,2.264205154,0.634409208
129,1746,Jeff Hendrick,22,1436,2,1.107993796,1,1.433230097,10,6,1,1,M S,Newcastle United,2,1.107993796,3.605641603,1.386696429
130,1791,Trent Alexander-Arnold,36,3040,2,2.59305963,7,8.576367635,55,77,2,0,D S,Liverpool,2,2.59305963,23.10788097,17.64890757
131,2379,João Cancelo,28,2309,2,1.865636025,3,5.177640126,35,45,5,1,D M S,Manchester City,2,1.865636025,18.10572618,14.48054548
132,2496,Rodri,33,2719,2,2.538603558,2,2.33538256,31,33,6,0,M S,Manchester City,1,1.7774347,20.21450458,18.32300595
133,3203,Issa Diop,17,1378,2,0.953530967,0,0.017779581,3,1,3,0,D S,West Ham,2,0.953530967,2.147920772,1.831723474
134,3288,Thiago Silva,23,1938,2,1.320545401,0,0.291494165,13,5,3,1,D,Chelsea,2,1.320545401,7.842857754,7.636919113
135,3389,Benjamin Mendy,13,955,2,0.334140891,1,0.301439743,6,5,2,0,D M S,Manchester City,2,0.334140891,2.769136801,2.348602511
136,3600,Serge Aurier,19,1619,2,1.475271713,3,3.719394445,15,17,0,0,D M,Tottenham,2,1.475271713,8.711731989,5.293095898
137,3635,Bernardo Silva,26,2080,2,3.598813418,6,4.823389741,28,27,5,0,F M S,Manchester City,2,3.598813418,17.1123898,10.65352136
138,4490,Semi Ajayi,33,2773,2,1.733795512,0,0.510466268,13,7,3,1,D S,West Bromwich Albion,2,1.733795512,4.629276711,3.112332497
139,5584,Aaron Wan-Bissaka,34,3060,2,0.932453951,4,2.547663255,7,31,3,0,D,Manchester United,2,0.932453951,12.24212278,9.676274544
140,5613,Gabriel,22,1904,2,1.550637526,0,0.056095988,15,2,2,1,D S,Arsenal,2,1.550637526,5.588360675,5.573927291
141,6027,Jairo Riedewald,33,1803,2,0.563081227,0,0.897361388,8,11,4,0,M S,Crystal Palace,2,0.563081227,3.511384854,2.333950503
142,6049,Solly March,21,1684,2,1.783601996,1,1.678819841,22,27,0,0,D M S,Brighton,2,1.783601996,8.322110306,5.68054905
143,6063,Jacob Murphy,26,1611,2,1.490952687,3,3.433488872,30,19,3,0,D M S,Newcastle United,2,1.490952687,8.043614191,4.102315794
144,6157,Timothy Castagne,27,2349,2,1.600266591,3,2.306962533,8,21,1,0,D M,Leicester,2,1.600266591,8.445917392,6.606226627
145,6456,Callum Hudson-Odoi,23,1048,2,1.369689252,3,3.104141779,23,31,0,0,D F M S,Chelsea,2,1.369689252,7.824358188,5.499199015
146,6482,Eddie Nketiah,17,405,2,2.022098698,1,0.742354877,12,8,0,0,F S,Arsenal,2,2.022098698,2.077280363,0.220550492
147,6521,Yerry Mina,24,1941,2,1.749434195,0,0.019598974,17,1,2,0,D S,Everton,2,1.749434195,4.313140837,4.212718679
148,6756,Dwight McNeil,35,3002,2,1.006853469,5,5.418880509,25,46,1,0,M S,Burnley,2,1.006853469,6.874771925,3.606812438
149,7230,Emile Smith-Rowe,19,1382,2,1.592160005,4,3.449013853,13,23,0,0,M S,Arsenal,2,1.592160005,9.202460408,5.454992607
150,7722,Trézéguet,21,1175,2,3.979035469,1,2.147567751,35,13,0,0,F M S,Aston Villa,2,3.979035469,7.02720906,1.903932778
151,7726,Ezri Konsa Ngoyo,36,3192,2,3.291558614,0,0.093176626,22,2,3,0,D S,Aston Villa,2,3.291558614,3.429550214,3.381944163
152,7752,Gabriel Martinelli,13,577,2,3.252450477,1,1.745650906,20,9,0,0,F M S,Arsenal,2,3.252450477,6.159719843,1.756597346
